Image,Song,Artist,Last Week,Peak Position,Weeks on Chart
https://charts-static.billboard.com/img/2023/02/forrestfrank-6cw-180x180.jpg,Your Way's Better,Forrest Frank,62,61,19
https://charts-static.billboard.com/img/2025/05/morgan-wallen-eos-miami-2oj-180x180.jpg,Miami,Morgan Wallen Feat. Lil Wayne & Rick Ross,52,21,8
https://charts-static.billboard.com/img/2025/06/tatemcrae-vd8-justkeepwatching-gx4-180x180.jpg,Just Keep Watching,Tate McRae,63,33,13
https://charts-static.billboard.com/img/2024/11/maxmcnown-0ht-bettermeforyoubrowneyes-h8h-180x180.jpg,Better Me For You (Brown Eyes),Max McNown,68,50,11
https://charts-static.billboard.com/img/2012/06/charli-xcx-iuj-180x180.jpg,Party 4 U,Charli xcx,71,55,19
https://charts-static.billboard.com/img/2024/11/riley-green-flo-dontmindifido-5mc-180x180.jpg,Don't Mind If I Do,Riley Green Feat. Ella Langley,78,69,4
https://charts-static.billboard.com/img/2018/06/fuerzaregida-1nc-180x180.jpg,Marlboro Rojo,Fuerza Regida,69,64,15
https://charts-static.billboard.com/img/2025/03/tatemcrae-vd8-revolvingdoor-4ay-180x180.jpg,Revolving Door,Tate McRae,79,22,20
https://charts-static.billboard.com/img/2025/03/moliy-000-shakeittothemaxfly-v8w-180x180.jpg,Shake It To The Max (Fly),"MOLIY, Silent Addy, Skillibeng & Shenseea",65,44,15
https://charts-static.billboard.com/img/2016/09/offset-8ek-180x180.jpg,Different Species,Offset & Gunna,-,73,1
https://charts-static.billboard.com/img/2025/07/cardi-b-wld-outside-9d0-180x180.jpg,Outside,Cardi B,60,10,10
https://charts-static.billboard.com/img/2025/05/morgan-wallen-eos-iaintcomingback-l13-180x180.jpg,I Ain't Coming Back,Morgan Wallen Feat. Post Malone,67,8,19
https://charts-static.billboard.com/img/2024/05/mylessmith-w4f-180x180.jpg,Nice To Meet You,Myles Smith,80,76,12
https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif,Sparks,Coldplay,81,77,7
https://charts-static.billboard.com/img/2025/07/blackpink-jrn-jump-469-180x180.jpg,Jump,BLACKPINK,74,28,7
https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif,So Far So Fake,Pierce the Veil,64,64,4
https://charts-static.billboard.com/img/2025/05/morgan-wallen-eos-superman-pah-180x180.jpg,Superman,Morgan Wallen,75,8,16
https://charts-static.billboard.com/img/2016/09/gunna-t8f-180x180.jpg,wgft,Gunna Feat. Burna Boy,93,81,3
https://charts-static.billboard.com/img/2025/08/oliviadean-lxn-manineed-jej-180x180.jpg,Man I Need,Olivia Dean,-,82,1
https://charts-static.billboard.com/img/2024/03/alexwarren-vcb-180x180.jpg,Eternity,Alex Warren,66,16,6
https://charts-static.billboard.com/img/2025/08/drake-bg5-whichone-r1g-180x180.jpg,Which One,Drake & Central Cee,73,23,5
https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif,Last One To Know,Gavin Adcock,77,77,2
https://charts-static.billboard.com/img/2024/10/jelly-roll-7m0-heartofstone-9jj-180x180.jpg,Heart Of Stone,Jelly Roll,86,86,2
https://charts-static.billboard.com/img/2015/09/g-herbo-oau-180x180.jpg,Went Legit,G Herbo,82,81,8
https://charts-static.billboard.com/img/2021/01/mariahthescientist-nuo-180x180.jpg,Sacrifice,Mariah the Scientist,-,88,1
https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif,Frecuencia,Dareyes de La Sierra,83,82,6
https://charts-static.billboard.com/img/2025/06/glorilla-nxl-typa-qxo-180x180.jpg,Typa,Glorilla,88,42,11
https://charts-static.billboard.com/img/2022/09/laufey-gnl-180x180.jpg,Lover Girl,Laufey,-,91,1
https://charts-static.billboard.com/img/2025/08/marshmello-fo3-holywater-8ue-180x180.jpg,Holy Water,Marshmello x Jelly Roll,-,92,1
https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif,Let Down,Radiohead,91,91,2
https://charts-static.billboard.com/img/2025/05/latto-28s-somebody-enh-180x180.jpg,Somebody,Latto,97,94,3
https://charts-static.billboard.com/img/2016/08/morgan-wallen-eos-180x180.jpg,TN,Morgan Wallen,87,31,15
https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif,Ring Ring Ring,"Tyler, the Creator",85,44,6
https://charts-static.billboard.com/img/2025/06/alexwarren-vcb-bloodline-b68-180x180.jpg,Bloodline,Alex Warren With Jelly Roll,94,32,13
https://charts-static.billboard.com/img/2025/05/katseye-xrz-gnarly-hxi-180x180.jpg,Gnarly,KATSEYE,-,90,6
https://charts-static.billboard.com/img/2018/06/fuerzaregida-1nc-180x180.jpg,Tu Sancho,Fuerza Regida,92,65,10
https://charts-static.billboard.com/img/2024/09/parker-mccollum-16j-whatkindaman-6mj-180x180.jpg,What Kinda Man,Parker McCollum,98,98,2
